id,who,date,post_code,gps,lat,lon,area,class_area,tiny_forest_name,species_id,species_name_latin,n_trees,tree_density,n_species,"Apple, crab","Birch, downy","Birch, silver",Blackthorn,Dogwood,Elder,"Guelder, rose",Hazel,"Maple, field","Oak, english","Oak, sessile","Willow, goat",Alder,"Cherry, bird","Cherry, wild","Elm, wych",Hawthorn,Hornbeam,"Lime, large-leaved","Lime, small-leaved",Spindle,Wild service tree,"Beech, common",Wayfaring tree,Bilberry,Dog Rose,Heather,Holly,Juniper,"Pine, scots",Rowan,"Willow, grey",Gorse,Whitebeam,Broom,"Buckthorn, purging","Pear, common",Aspen,Alder buckthorn,NA,"Poplar, black",Ash,Sweet chestnut,Cherry Plum,Wild Pear,Common privet
85,"Volunteer Group, Local Residents, Earthwatch",2020-03-14,OX28 3GB,"51.777889, -1.469139",51.777889,-1.469139,207,30,"Tychwood, Witney",4,Malus sylvestris,200,0.966183574879227,12,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,"Volunteer Group, Local Residents, Earthwatch",2020-03-14,OX28 3GB,"51.777889, -1.469139",51.777889,-1.469139,207,30,"Tychwood, Witney",9,Betula pubescens,200,0.966183574879227,12,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,"Volunteer Group, Local Residents, Earthwatch",2020-03-14,OX28 3GB,"51.777889, -1.469139",51.777889,-1.469139,207,30,"Tychwood, Witney",10,Betula pendula,200,0.966183574879227,12,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,"Volunteer Group, Local Residents, Earthwatch",2020-03-14,OX28 3GB,"51.777889, -1.469139",51.777889,-1.469139,207,30,"Tychwood, Witney",11,Prunus spinosa,200,0.966183574879227,12,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,"Volunteer Group, Local Residents, Earthwatch",2020-03-14,OX28 3GB,"51.777889, -1.469139",51.777889,-1.469139,207,30,"Tychwood, Witney",20,Cornus sanguinea,200,0.966183574879227,12,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,"Volunteer Group, Local Residents, Earthwatch",2020-03-14,OX28 3GB,"51.777889, -1.469139",51.777889,-1.469139,207,30,"Tychwood, Witney",22,Sambucus nigra,200,0.966183574879227,12,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,"Volunteer Group, Local Residents, Earthwatch",2020-03-14,OX28 3GB,"51.777889, -1.469139",51.777889,-1.469139,207,30,"Tychwood, Witney",27,Viburnum opulus,200,0.966183574879227,12,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,"Volunteer Group, Local Residents, Earthwatch",2020-03-14,OX28 3GB,"51.777889, -1.469139",51.777889,-1.469139,207,30,"Tychwood, Witney",30,Corylus avellana,200,0.966183574879227,12,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,"Volunteer Group, Local Residents, Earthwatch",2020-03-14,OX28 3GB,"51.777889, -1.469139",51.777889,-1.469139,207,30,"Tychwood, Witney",40,Acer campestre,200,0.966183574879227,12,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,"Volunteer Group, Local Residents, Earthwatch",2020-03-14,OX28 3GB,"51.777889, -1.469139",51.777889,-1.469139,207,30,"Tychwood, Witney",43,Quercus robur,200,0.966183574879227,12,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,"Volunteer Group, Local Residents, Earthwatch",2020-03-14,OX28 3GB,"51.777889, -1.469139",51.777889,-1.469139,207,30,"Tychwood, Witney",44,Quercus petraea,200,0.966183574879227,12,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,"Volunteer Group, Local Residents, Earthwatch",2020-03-14,OX28 3GB,"51.777889, -1.469139",51.777889,-1.469139,207,30,"Tychwood, Witney",65,Salix caprea,200,0.966183574879227,12,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,"Volunteer Group, Landscape contractors",2021-01-28,OX3 9QF,"51.769139, -1.215472",51.769139,-1.215472,201,16,"Foxwell Drive, Oxford",1,Alnus glutinosa,100,0.497512437810945,17,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,"Volunteer Group, Landscape contractors",2021-01-28,OX3 9QF,"51.769139, -1.215472",51.769139,-1.215472,201,16,"Foxwell Drive, Oxford",4,Malus sylvestris,100,0.497512437810945,17,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,"Volunteer Group, Landscape contractors",2021-01-28,OX3 9QF,"51.769139, -1.215472",51.769139,-1.215472,201,16,"Foxwell Drive, Oxford",10,Betula pendula,100,0.497512437810945,17,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,"Volunteer Group, Landscape contractors",2021-01-28,OX3 9QF,"51.769139, -1.215472",51.769139,-1.215472,201,16,"Foxwell Drive, Oxford",11,Prunus spinosa,100,0.497512437810945,17,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,"Volunteer Group, Landscape contractors",2021-01-28,OX3 9QF,"51.769139, -1.215472",51.769139,-1.215472,201,16,"Foxwell Drive, Oxford",15,Prunus padus,100,0.497512437810945,17,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,"Volunteer Group, Landscape contractors",2021-01-28,OX3 9QF,"51.769139, -1.215472",51.769139,-1.215472,201,16,"Foxwell Drive, Oxford",16,Prunus avium,100,0.497512437810945,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,"Volunteer Group, Landscape contractors",2021-01-28,OX3 9QF,"51.769139, -1.215472",51.769139,-1.215472,201,16,"Foxwell Drive, Oxford",20,Cornus sanguinea,100,0.497512437810945,17,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,"Volunteer Group, Landscape contractors",2021-01-28,OX3 9QF,"51.769139, -1.215472",51.769139,-1.215472,201,16,"Foxwell Drive, Oxford",24,Ulmus glabra,100,0.497512437810945,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,"Volunteer Group, Landscape contractors",2021-01-28,OX3 9QF,"51.769139, -1.215472",51.769139,-1.215472,201,16,"Foxwell Drive, Oxford",27,Viburnum opulus,100,0.497512437810945,17,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,"Volunteer Group, Landscape contractors",2021-01-28,OX3 9QF,"51.769139, -1.215472",51.769139,-1.215472,201,16,"Foxwell Drive, Oxford",28,Crataegus monogyna,100,0.497512437810945,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,"Volunteer Group, Landscape contractors",2021-01-28,OX3 9QF,"51.769139, -1.215472",51.769139,-1.215472,201,16,"Foxwell Drive, Oxford",34,Carpinus betulus,100,0.497512437810945,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,"Volunteer Group, Landscape contractors",2021-01-28,OX3 9QF,"51.769139, -1.215472",51.769139,-1.215472,201,16,"Foxwell Drive, Oxford",38,Tilia platyphyllos,100,0.497512437810945,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,"Volunteer Group, Landscape contractors",2021-01-28,OX3 9QF,"51.769139, -1.215472",51.769139,-1.215472,201,16,"Foxwell Drive, Oxford",39,Tilia cordata,100,0.497512437810945,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
